P	P (slang)_femme_(lesbian_stereotype) 
螽	螽 (grasshopper) Gompsocleis_mikado 
螾	螾 the_earthworm 
螿	螿 cicada_(Cosmopsaltria_opalifera) 
蟀	蟀 cricket 
蟁	蟁 old_variant_of_蚊[wen2] 
蟄	蟄 to_hibernate 
蟅	蟅 locust Chinese_ground_beetle_(Eupolyphaga_sinensis) 
蟆	蟆 toad 
蟇	蟇 old_variant_of_蟆[ma2] 
蟈	蟈 small_green_cicada_or_frog_(meaning_unclear,_possibly_onom.) see_蟈蟈|蝈蝈_long-horned_grasshopper 
蟊	蟊 Spanish_fly grain-eating_grub 
蓯	蓯 Boschniakia_glabra 
蓰	蓰 (grass) increase_five_fold 
蓱	蓱 variant_of_萍[ping2] 
蓴	蓴 edible_water_plant Brasenia_schreberi 
蓷	蓷 Leonurus_macranthus 
蓸	蓸 (a_kind_of_herb) 
蓺	蓺 skill art 
蓼	蓼 polygonum smartweed 
蓼	蓼 luxuriant_growth 
蓽	蓽 bean pulse 
茬	茬 stubble_land_after_crop_has_been_taken a_second_crop_obtained_by_rotation_of_land an_opportunity 
茭	茭 Zizania_aquatica 
茯	茯 Pachyma_cocos china_root 
茱	茱 cornelian_cherry 
茲	茲 now here this time year 
茳	茳 Cyperus_malaccensis 
茴	茴 fennel aniseed 
茵	茵 mattress 
茶	茶 tea tea_plant CL:杯[bei1],壺|壶[hu2] 
華	華 Mt_Hua_華山|华山_in_Shaanxi surname_Hua 
華	華 old_variant_of_花[hua1] flower 
華	華 magnificent splendid flowery 
荔	荔 litchi 
荒	荒 desolate shortage scarce out_of_practice absurd uncultivated to_neglect 
萌	萌 to_sprout to_bud to_have_a_strong_affection_for_(slang) adorable_(loanword_from_Japanese_萌え_moe,_slang_describing_affection_for_a_cute_character) 
萍	萍 duckweed 
萎	萎 to_wither to_drop to_decline spiritless Taiwan_pr._[wei1] 
萏	萏 lotus 
萐	萐 (auspicious_herb) 
萑	萑 (reeds) 
萕	萕 old_variant_of_薺|荠[ji4] 
萘	萘 naphthalene_C10H8 
萜	萜 terpene_(chemistry) 
萣	萣 see_茄萣[Qie2_ding4] 
萩	萩 Lespedeza_bicolor 
萬	萬 surname_Wan 
萬	萬 ten_thousand a_great_number 
蜞	蜞 grapsus 
蜢	蜢 grasshopper 
虺	虺 sick with_no_ambition 
虺	虺 mythical_venomous_snake 
虻	虻 horsefly gadfly 
虼	虼 flea 
蚆	蚆 a_kind_of_shell 
蚈	蚈 (arch.)_firefly 
蚉	蚉 old_variant_of_蚊[wen2] 
蚊	蚊 mosquito 
蚋	蚋 (mosquito) Simulia_lugubris blackfly 
蚌	蚌 abbr._for_Bengbu_prefecture-level_city_蚌埠市[Beng4_bu4_shi4],_Anhui 
蚌	蚌 mussel clam 
蚍	蚍 see_蚍蜉[pi2_fu2] 
蚓	蚓 earthworm 
著	著 (chess)_move trick all_right! (dialect)_to_add 
著	著 to_touch to_come_in_contact_with to_feel to_be_affected_by to_catch_fire to_burn (coll.)_to_fall_asleep (after_a_verb)_hitting_the_mark succeeding_in 
著	著 aspect_particle_indicating_action_in_progress 
著	著 to_wear_(clothes) to_contact to_use to_apply 
著	著 to_make_known to_show to_prove to_write book outstanding 
蔣	蔣 surname_Jiang refers_to_Chiang_Kai-shek_蔣介石|蒋介石 
蒜	蒜 garlic CL:頭|头[tou2],瓣[ban4] 
荘	荘 Japanese_variant_of_莊|庄 
荳	荳 variant_of_豆[dou4] 
荵	荵 polemonium 
荷	荷 Holland the_Netherlands abbr._for_荷蘭|荷兰[He2_lan2] 
荷	荷 lotus 
荷	荷 to_carry_on_one's_shoulder_or_back burden responsibility 
蜣	蜣 dung_beetle 
蜥	蜥 see_蜥蜴[xi1_yi4] 
蜨	蜨 variant_of_蝶[die2] 
蜩	蜩 cicada 
蜮	蜮 mythical_creature toad worm 
蜱	蜱 tick_(zoology) 
蜴	蜴 see_蜥蜴[xi1_yi4] 
蜷	蜷 to_curl_up_(like_a_scroll) to_huddle Melania_libertina wriggle_(as_a_worm) 
蜺	蜺 Japanese_cicada old_variant_of_霓[ni2] 
蜻	蜻 see_蜻蜓[qing1_ting2] 
行	行 to_walk to_go to_travel a_visit temporary makeshift current in_circulation to_do to_perform capable competent effective all_right OK! will_do behavior conduct Taiwan_pr._[xing4]_for_the_behavior-conduct_sense 
蟋	蟋 cricket 
蟎	蟎 mite 
蟑	蟑 cockroach 
蟒	蟒 python 
蟓	蟓 silkworm 
蟛	蟛 (land-crab) grapsus_sp. 
蟜	蟜 surname_Jiao 
蟜	蟜 (insect) 
蟟	蟟 see_蟭蟟[jiao1_liao2] 
蟠	蟠 to_coil 
蟢	蟢 (spider) 
蟣	蟣 nymph_of_louse 
蟥	蟥 horse-leech 
蟨	蟨 Siberian_jerboa 
蟪	蟪 (cicada) Platypleura_kaempferi 
薖	薖 big hungry-looking 
薘	薘 plantago_major 
薙	薙 shave to_weed 
薛	薛 surname_Xue vassal_state_during_the_Zhou_Dynasty_(1046-256_BC) 
薛	薛 wormwood_like_grass_(classical) 
薜	薜 Ficus_pumila 
薠	薠 plant_similar_to_coco-grass_莎草[suo1_cao3]_(classical) 
薢	薢 woody_climbing_plant 
薤	薤 Allium_bakeri shallot scallion 
薦	薦 to_recommend to_offer_sacrifice_(arch.) grass straw_mat 
薧	薧 dried_food 
薨	薨 death_of_a_prince swarming 
薩	薩 Bodhisattva surname_Sa 
蔥	蔥 scallion green_onion 
蔦	蔦 grossulariaceae 
蔫	蔫 to_fade to_wither to_wilt listless 
蔬	蔬 vegetables 
蔭	蔭 shade 
莎	莎 see_莎草[suo1_cao3] see_摩莎[mo2_suo1] 
蒞	蒞 to_attend_(an_official_function) to_be_present to_administer to_approach_(esp._as_administrator) 
藎	藎 Arthraxon_ciliare loyal 
藏	藏 Tibet Xizang_西藏 
藏	藏 to_conceal to_hide_away to_harbor to_store to_collect 
藏	藏 storehouse depository Buddhist_or_Taoist_scripture 
虐	虐 oppressive tyrannical 
虒	虒 amphibious_animal_with_one_horn 
虓	虓 roar_of_a_tiger 
虔	虔 to_act_with_reverence reverent 
蚔	蚔 green-frog 
蚖	蚖 Protura_(soil_dwelling_primitive_hexapod) variant_of_螈,_salamander newt triton 
蚘	蚘 variant_of_蛔[hui2] 
蚜	蚜 aphis 
蚡	蚡 (mole) 
蚣	蚣 scolopendra_centipede 
蚤	蚤 flea 
蚦	蚦 variant_of_蚺[ran2] 
蚧	蚧 see_蛤蚧[ge2_jie4] 
蚨	蚨 (water-beetle) money 
蚩	蚩 surname_Chi 
蚩	蚩 ignorant worm 
蚪	蚪 tadpole 
蚯	蚯 earthworm 
蚰	蚰 see_蚰蜒[you2_yan5] 
蚱	蚱 grasshopper 
蚳	蚳 ant_eggs 
蚴	蚴 larva 
蚵	蚵 oyster_(Taiwanese) 
蚶	蚶 small_clam_(Arca_inflata) 
蚹	蚹 scales_on_the_belly_of_a_snake,_aiding_locomotion snail to_crawl 
蚺	蚺 boa 
蚻	蚻 Aphrophora_martima 
蚽	蚽 a_kind_of_insect_(old) 
蚿	蚿 millipede 
蛀	蛀 termite to_bore_(of_insects) 
葙	葙 see_青葙,_feather_cockscomb_(Celosia_argentea) 
葚	葚 fruit_of_mulberry also_pr._[ren4] 
葛	葛 surname_Ge 
蓿	蓿 clover lucerne Taiwan_pr._[su4] 
蔀	蔀 cycle_of_76_years shade 
蔂	蔂 basket_for_carrying_earth 
蔃	蔃 cigarette_(slang)_(Cantonese) 
蔆	蔆 variant_of_菱[ling2] 
蔇	蔇 luxuriant_growth extreme reach 
蒟	蒟 betel 
蒡	蒡 Arctium_lappa great_burdock 
蒢	蒢 hedysarum 
蒦	蒦 phonetic_component_in_certain_characters_with_sound_huò,_such_as_護,_獲,_穫_and_擭 
蒨	蒨 luxuriant_growth 
蒪	蒪 myoga_ginger_(Zingiber_mioga) 
蒭	蒭 old_variant_of_芻|刍[chu2] 
蒯	蒯 a_rush scirpus_cyperinus 
蒱	蒱 gambling-game sedges 
蒲	蒲 surname_Pu old_place_name 
蒲	蒲 refers_to_various_monocotyledonous_flowering_plants_including_Acorus_calamus_and_Typha_orientalis common_cattail bullrush 
苧	苧 Boehmeria_nivea Chinese_grass 
苩	苩 old_variant_of_葩[pa1] 
苪	苪 bright shining,_splendid 
苫	苫 straw_mat thatch 
苯	苯 benzene benzol_(chemistry) 
英	英 United_Kingdom British England English abbr._for_英國|英国[Ying1_guo2] 
英	英 hero outstanding excellent (literary)_flower blossom 
蜽	蜽 see_蝄蜽[wang3_liang3] 
蜾	蜾 Eumenes_pomiformis 
蜿	蜿 to_move_(as_snake) 
蝀	蝀 rainbow 
蝃	蝃 rainbow 
蝃	蝃 see_蝃蝥[zhuo1_mao2] 
蝄	蝄 see_蝄蜽[wang3_liang3] 
蝋	蝋 Japanese_variant_of_蠟|蜡[la4] 
蝌	蝌 tadpole 
蝍	蝍 a_centipede 
蝎	蝎 variant_of_蠍|蝎[xie1] 
蝏	蝏 (insect) Leptogaster_basiralis 
蝐	蝐 see_蝳蝐[dai4_mao4] 
蝒	蝒 large,_black_cicada locust 
蝓	蝓 snail 
蝕	蝕 to_nibble_away_at_sth to_eat_into to_erode 
蝗	蝗 locust 
蝘	蝘 Hemidactylus_bowringii 
蝙	蝙 bat also_pr._[bian3] 
蝛	蝛 see_蛜蝛[yi1_wei1] 
蝝	蝝 locust_larva_without_wings 
蝟	蝟 hedgehog_(family_Erinaceidae) 
蝠	蝠 bat 
蝡	蝡 variant_of_蠕[ru2] 
蝣	蝣 Ephemera_strigata 
蝤	蝤 larva grub 
蟬	蟬 cicada 
蟭	蟭 eggs_of_mantis 
蟮	蟮 see_蛐蟮[qu1_shan5] 
蟯	蟯 parasitic_worm human_pinworm_(Enterobius_vermicularis) 
蟲	蟲 lower_form_of_animal_life,_including_insects,_insect_larvae,_worms_and_similar_creatures CL:條|条[tiao2],隻|只[zhi1] person_with_a_particular_undesirable_characteristic 
蔉	蔉 to_bank_up_the_roots_of_plants 
蔊	蔊 Nasturtium_montanum 
蔋	蔋 dry scorched 
蔌	蔌 surname_Su 
蔌	蔌 vegetables 
蔎	蔎 Thea_sinensis 
蔑	蔑 to_belittle nothing 
蔓	蔓 turnip Brassica_campestris 
蔓	蔓 creeper to_spread 
蔔	蔔 see_蘿蔔|萝卜[luo2_bo5] 
蔕	蔕 variant_of_蒂[di4] 
蔗	蔗 sugar_cane 
蔘	蔘 ginseng 
蔙	蔙 (herb) 
蔚	蔚 surname_Yu place_name 
蔚	蔚 Artemisia_japonica luxuriant resplendent impressive 
茷	茷 denseness_of_grass-foliage 
茸	茸 confused fluffy luxuriant_growth 
茹	茹 surname_Ru 
茹	茹 to_eat (extended_meaning)_to_endure putrid_smell vegetables roots_(inextricably_attached_to_the_plant) 
莒	莒 Zhou_Dynasty_vassal_state_in_modern_day_Shandong_Province 
莒	莒 alternative_name_for_taro_(old) 
莓	莓 berry strawberry 
莔	莔 Fritillaria_verticillata 
莖	莖 stalk stem CL:條|条[tiao2] 
莘	莘 long numerous 
莙	莙 species_of_water_plant 
莚	莚 bamboo_mat feast,_banquet 
藐	藐 to_despise small variant_of_渺[miao3] 
處	處 to_reside to_live to_dwell to_be_in to_be_situated_at to_stay to_get_along_with to_be_in_a_position_of to_deal_with to_discipline to_punish 
處	處 place location spot point office department bureau respect classifier_for_locations_or_items_of_damage:_spot,_point 
蝥	蝥 variant_of_蟊[mao2] 
蝦	蝦 see_蝦蟆|虾蟆[ha2_ma5] 
蝦	蝦 shrimp prawn 
蘊	蘊 to_accumulate to_hold_in_store to_contain to_gather_together to_collect depth inner_strength profundity 
蛁	蛁 Pomponia_maculatiocollis 
蛄	蛄 see_螻蛄|蝼蛄[lou2_gu1] 
蛅	蛅 a_caterpillar 
蛆	蛆 maggot 
蛇	蛇 snake serpent CL:條|条[tiao2] 
腳	腳 foot leg_(of_an_animal_or_an_object) base_(of_an_object) CL:雙|双[shuang1],隻|只[zhi1] classifier_for_kicks 
腳	腳 variant_of_角[jue2] role 
色	色 color CL:種|种[zhong3] look appearance sex 
色	色 color dice 
芲	芲 old_variant_of_花[hua1] 
芳	芳 fragrant 
致	致 to_send to_devote to_deliver to_cause to_convey 
舟	舟 boat 
舠	舠 kayak 
舡	舡 boat ship 
舢	舢 sampan 
舨	舨 sampan 
舗	舗 Japanese_variant_of_舖|铺 
舛	舛 mistaken erroneous contradictory 
芭	芭 a_herb banana 
膣	膣 vagina 
膦	膦 phosphine 
膨	膨 swollen 
膩	膩 greasy soft unctuous intimate tired_of 
膪	膪 see_囊膪[nang1_chuai4] 
膫	膫 name_of_a_state_during_Han_Dynasty 
膫	膫 male_genitals old_variant_of_膋[liao2] 
膰	膰 cooked_meat_used_in_sacrifice 
膲	膲 see_三膲[san1_jiao1] 
膳	膳 meals 
膴	膴 big_piece_of_meat dried_meat 
膵	膵 pancreas 
膷	膷 hashed_beef soup 
膺	膺 breast receive 
膻	膻 rank_odor_(of_sheep_or_goats) 
膽	膽 gall_bladder courage guts gall inner_container_(e.g._bladder_of_a_football,_inner_container_of_a_thermos) 
薅	薅 to_weed to_grip_or_clutch 
薆	薆 to_cover to_hide to_conceal 
薇	薇 Osmunda_regalis,_a_species_of_fern Taiwan_pr._[wei2] 
薈	薈 to_flourish luxuriant_growth 
薉	薉 weedy 
薊	薊 surname_Ji ancient_Chinese_city_state_near_modern_day_Beijing 
薊	薊 cirsium thistle 
薌	薌 aromatic_herb_used_for_seasoning variant_of_香[xiang1] 
薏	薏 see_薏苡[yi4_yi3] 
薐	薐 old_name_for_spinach 
薑	薑 ginger 
肆	肆 four_(banker's_anti-fraud_numeral) unrestrained wanton (literary)_shop 
肇	肇 at_first devise originate 
芴	芴 (old)_vaguely suddenly 
芴	芴 fluorene_C13H10 (old)_name_of_an_edible_wild_plant 
芷	芷 angelica_(type_of_iris) plant_root_used_in_TCM 
芸	芸 Japanese_variant_of_藝|艺[yi4] 
芸	芸 common_rue_(Ruta_graveolens) books_and_libraries 
芮	芮 surname_Rui 
芮	芮 small 
芯	芯 lamp_pith wick 
芯	芯 core 
芰	芰 Trapa_natans water_caltrop 
花	花 surname_Hua 
花	花 flower blossom CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4] fancy_pattern florid to_spend_(money,_time) 
肧	肧 variant_of_胚[pei1] 
肩	肩 shoulder to_shoulder_(responsibilities_etc) 
肪	肪 animal_fat 
肫	肫 gizzard 
肬	肬 variant_of_疣[you2] 
肭	肭 see_膃肭|腽肭,_fur_seal_or_its_blubber 
肯	肯 to_agree to_consent to_be_ready_(to_do_sth) willing 
聰	聰 quick_at_hearing wise clever sharp-witted intelligent acute 
舉	舉 to_lift to_hold_up to_cite to_enumerate to_act to_raise to_choose to_elect act move deed 
臺	臺 Taiwan_(abbr.) 
臺	臺 platform stage terrace stand support station broadcasting_station classifier_for_vehicles_or_machines 
航	航 boat ship craft to_navigate to_sail to_fly 
舩	舩 variant_of_船[chuan2] 
臁	臁 sides_of_the_lower_part_of_the_leg 
臂	臂 arm 
臃	臃 see_臃腫|臃肿[yong1_zhong3] 
臄	臄 palate sausage 
臆	臆 feelings opinion thoughts 
臇	臇 fat,_rich a_stew_of_fish 
臈	臈 old_variant_of_臘|腊[la4] 12th_lunar_month 
臉	臉 face CL:張|张[zhang1],個|个[ge4] 
薔	薔 wild_rose 
蠣	蠣 oyster 
蠧	蠧 variant_of_蠹[du4] 
蠨	蠨 long-legged_spider 
蠩	蠩 a_toad 
蠭	蠭 old_variant_of_蜂[feng1] 
蠮	蠮 wasp_of_the_family_Sphecidae 
肈	肈 the_start the_origin 
肉	肉 meat flesh pulp_(of_a_fruit) (coll.)_(of_a_fruit)_squashy (of_a_person)_flabby irresolute 
胤	胤 descendant heir offspring posterity to_inherit 
胥	胥 surname_Xu 
胥	胥 all assist to_store 
胦	胦 the_navel 
胩	胩 carbylamine isocyanide 
胬	胬 see_胬肉[nu3_rou4] 
胭	胭 rouge 
胯	胯 crotch groin hip 
蛘	蛘 a_weevil_found_in_rice_etc 
蛙	蛙 frog CL:隻|只[zhi1] 
蛚	蛚 Cyrtoxiphus_ritsemae 
蛛	蛛 see_蜘蛛[zhi1_zhu1] 
蛜	蛜 woodlouse 
蛞	蛞 snail slug mole_cricket 
苘	苘 Indian_mallow_(Abutilon_theophrasti) Indian_hemp_(cannabis) 
苙	苙 (herb) pigsty 
苛	苛 severe exacting 
苜	苜 clover 
苞	苞 bud flower_calyx luxuriant profuse 
苟	苟 surname_Gou 
苟	苟 if supposing careless negligent temporarily 
胰	胰 soap pancreas 
蠰	蠰 Cerambyx_rugicollis 
蠱	蠱 arch._legendary_venomous_insect to_poison to_bewitch to_drive_to_insanity to_harm_by_witchcraft intestinal_parasite 
肰	肰 dog_meat old_variant_of_然[ran2] 
肱	肱 upper_arm arm 
育	育 to_have_children to_raise_or_bring_up to_educate 
肴	肴 meat_dishes mixed_viands 
肵	肵 table 
肸	肸 giggle scatter 
肹	肹 old_variant_of_肸[xi1] 
肺	肺 lung CL:個|个[ge4] 
脬	脬 bladder 
脯	脯 dried_meat preserved_fruit 
脯	脯 chest breast 
脰	脰 neck throat 
脲	脲 carbamide urea_(NH2)2CO also_written_尿素 
脳	脳 Japanese_variant_of_腦|脑 
脷	脷 (cattle)_tongue_(Cantonese) 
脹	脹 dropsical swollen to_swell to_be_bloated 
脾	脾 spleen 
脿	脿 old_variant_of_膘[biao1] 
腄	腄 callus_on_the_hand_or_foot upper_leg_bone_of_horse_or_bird buttocks 
腆	腆 make_strong_(as_liquors) virtuous 
腈	腈 acrylic 
腊	腊 dried_meat also_pr._[xi2] 
腋	腋 armpit (biology)_axilla (botany)_axil Taiwan_pr._[yi4] 
薹	薹 Carex_dispalatha 
薺	薺 see_薺菜|荠菜[ji4_cai4] 
薺	薺 water_chestnut 
薻	薻 old_variant_of_藻[zao3] 
薽	薽 (grass) (orchid) 
薾	薾 luxuriant_growth_of_flower 
薿	薿 luxuriant_(of_plants) 
藁	藁 variant_of_槁[gao3] 
蘭	蘭 surname_Lan abbr._for_Lanzhou_蘭州|兰州[Lan2_zhou1],_Gansu 
蘭	蘭 orchid_(蘭花|兰花_Cymbidium_goeringii) fragrant_thoroughwort_(蘭草|兰草_Eupatorium_fortunei) lily_magnolia_(木蘭|木兰) 
蛸	蛸 see_螵蛸[piao1_xiao1] 
蛹	蛹 chrysalis pupa 
蛺	蛺 see_蛺蝶|蛱蝶[jia2_die2] 
蛻	蛻 skin_cast_off_during_molting exuvia to_pupate to_molt to_slough to_cast_off_an_old_skin_or_shell 
蛾	蛾 moth 
舊	舊 old opposite:_new_新 former worn_(with_age) 
艴	艴 angry 
艶	艶 variant_of_艷|艳[yan4] 
艷	艷 colorful splendid gaudy amorous romantic to_envy 
艸	艸 variant_of_草[cao3] 
艹	艹 grass_radical_草字頭兒|草字头儿[cao3_zi4_tou2_r5] 
艻	艻 see_蘿艻|萝艻[luo2_le4] 
艽	艽 see_秦艽[qin2_jiao1] 
艾	艾 surname_Ai 
艾	艾 Chinese_mugwort_or_wormwood moxa to_stop_or_cut_short phonetic_"ai"_or_"i" abbr._for_艾滋病[ai4_zi1_bing4],_AIDS 
艾	艾 to_mow to_cut to_reap to_redress 
胱	胱 bladder 
胲	胲 hydroxylamine_(chemistry) 
胳	胳 armpit 
胴	胴 large_intestine torso 
胷	胷 variant_of_胸[xiong1] 
胸	胸 chest bosom heart mind thorax 
腴	腴 fat_on_belly fertile rich 
腶	腶 dried_meat 
腸	腸 intestines 
腹	腹 abdomen stomach belly 
聱	聱 difficult_to_pronounce 
聲	聲 sound voice tone noise classifier_for_sounds 
聘	聘 to_engage_(a_teacher_etc) to_hire to_betroth betrothal_gift to_get_married_(of_woman) 
蠲	蠲 to_deduct to_show bright_and_clean glow-worm galleyworm millipede 
蠵	蠵 large_turtles 
蠶	蠶 silkworm 
蜀	蜀 short_name_for_Sichuan_四川[Si4_chuan1]_province one_of_the_Three_Kingdoms_三國|三国[San1_guo2]_after_the_fall_of_the_Han_dynasty 
蜂	蜂 bee wasp 
蠻	蠻 barbarian bullying very quite rough reckless 
蠼	蠼 earwig_蠼螋 
蠽	蠽 small_green_cicada 
血	血 blood colloquial_pr._[xie3] CL:滴[di1],片[pian4] 
藄	藄 (fern) 
藇	藇 surname_Xu 
藇	藇 beautiful 
藉	藉 variant_of_借[jie4] 
藉	藉 surname_Ji 
藉	藉 to_insult to_walk_all_over_(sb) 
藉	藉 sleeping_mat to_placate 
藊	藊 see_藊豆[bian3_dou4] 
藋	藋 Sambucu_javinica 
藍	藍 surname_Lan 
藍	藍 blue indigo_plant 
臊	臊 smell_of_urine 
臊	臊 shame bashfulness to_shame to_humiliate 
臋	臋 old_variant_of_臀[tun2] 
臌	臌 dropsical swollen 
臍	臍 navel 
聴	聴 Japanese_variant_of_聽|听 
聵	聵 born_deaf deaf obtuse 
聶	聶 surname_Nie 
聶	聶 to_whisper 
肼	肼 hydrazine 
肽	肽 peptide_(two_or_more_amino_acids_linked_by_peptide_bonds_CO-NH) 
胂	胂 arsine 
胃	胃 stomach CL:個|个[ge4] 
胄	胄 helmet descendants 
要	要 important vital to_want to_ask_for will going_to_(as_future_auxiliary) may must (used_in_a_comparison)_must_be probably if 
腌	腌 variant_of_醃|腌[yan1] 
腍	腍 be_satiated cooked good-tasting 
腎	腎 kidney 
腐	腐 decay rotten 
蛟	蛟 a_legendary_dragon_with_the_ability_to_control_rain_and_floods see_also_蛟龍|蛟龙[jiao1_long2] 
蛡	蛡 hive honeycomb 
蛣	蛣 beetle 
蛤	蛤 clam 
蛤	蛤 frog toad 
蛧	蛧 old_variant_of_魍[wang3] 
蛩	蛩 anxious grasshopper a_cricket 
蛭	蛭 fluke leech hirudinea 
蛵	蛵 see_虰蛵[ding1_xing2] 
蛸	蛸 long-legged_spider 
蠡	蠡 calabash 
蠡	蠡 wood-boring_insect 
蠢	蠢 stupid sluggish clumsy to_wiggle_(of_worms) to_move_in_a_disorderly_fashion 
蠷	蠷 variant_of_蠼[qu2] 
蠸	蠸 Aulacophora_femoralis 
蠹	蠹 insect_that_eats_into_books,_clothing_etc moth-eaten worm-eaten 
薫	薫 Japanese_variant_of_薰 
薬	薬 Japanese_variant_of_藥|药 
薯	薯 potato yam 
薰	薰 fragrance warm to_educate variant_of_熏[xun1] to_smoke to_fumigate 
薰	薰 sweet-smelling_grass Coumarouna_odorata tonka_beans coumarin 
薳	薳 (arch.)_type_of_grass 
薳	薳 surname_Wei 
薶	薶 old_variant_of_埋[mai2] 
薶	薶 to_make_dirty to_soil 
薷	薷 Elshotria_paltrini 
薸	薸 duckweed 
腺	腺 gland 
腿	腿 leg CL:條|条[tiao2] 
職	職 office duty 
聚	聚 to_congregate to_assemble to_mass to_gather_together to_amass to_polymerize 
臏	臏 variant_of_髕|髌[bin4] 
臐	臐 lamb_soup 
臑	臑 biceps_(in_Chinese_medicine) (arch.)_forelimbs_of_livestock_animal 
臓	臓 Japanese_variant_of_臟|脏 
臕	臕 variant_of_膘[biao1] 
臖	臖 to_swell swelling 
臘	臘 12th_lunar_month preserved_(meat,_fish_etc) 
臙	臙 variant_of_胭[yan1] 
臚	臚 belly skin to_state to_pass_on_information to_display 
臛	臛 meat_broth 
臝	臝 variant_of_裸[luo3] 
臞	臞 variant_of_癯[qu2] 
臟	臟 viscera (anatomy)_organ 
臠	臠 skinny sliced_meat 
臢	臢 see_腌臢|腌臜[a1_za1] 
臣	臣 surname_Chen 
臣	臣 state_official_or_subject_in_dynastic_China I,_your_servant_(used_in_addressing_the_sovereign) Kangxi_radical_131 
聹	聹 see_耵聹|耵聍,_earwax cerumen 
聼	聼 variant_of_聽|听[ting1] to_hear to_obey 
肊	肊 variant_of_臆[yi4] 
肋	肋 rib Taiwan_pr._[le4] 
肌	肌 flesh muscle 
胹	胹 overcooked soft 
胺	胺 amine Taiwan_pr._[an1] 
胻	胻 calf_(lower_leg) (arch.)_belly 
胼	胼 callous_on_hand_or_foot 
能	能 surname_Neng 
能	能 can to_be_able_to might_possibly ability (physics)_energy 
要	要 to_demand to_request to_coerce 
胇	胇 old_variant_of_肺[fei4] 
胊	胊 yoke 
背	背 to_be_burdened to_carry_on_the_back_or_shoulder 
背	背 the_back_of_a_body_or_object to_turn_one's_back to_hide_something_from to_learn_by_heart to_recite_from_memory unlucky_(slang) hard_of_hearing 
腑	腑 internal_organs 
腒	腒 dried_poultry 
腓	腓 calf_of_leg decay protect 
腔	腔 cavity_of_body barrel_(e.g._engine_cylinder) compartment tune accent_of_speech 
腕	腕 wrist (squid,_starfish_etc)_arm 
腖	腖 see_蛋白腖|蛋白胨[dan4_bai2_dong4] 
腙	腙 hydrazone_(chemistry) 
腚	腚 buttocks butt 
腜	腜 quickening_of_the_fetus 
臻	臻 to_arrive to_reach_(esp._perfection) utmost (used_in_commercials) 
臼	臼 mortar 
臽	臽 pitfall trap_(archaic) 
臾	臾 surname_Yu 
臾	臾 a_moment little_while 
舺	舺 boat Taiwan_pr._[jia3] 
艁	艁 variant_of_造,_to_make to_build to_invent to_manufacture 
艄	艄 stern_of_boat 
艿	艿 see_芋艿[yu4_nai3] 
芀	芀 old_variant_of_苕[tiao2] 
膀	膀 upper_arm wing 
膀	膀 to_flirt 
膀	膀 puffed_(swollen) 
膀	膀 bladder 
膂	膂 backbone strength 
膃	膃 blubber_(animal_fat) 
膆	膆 (literary)_fat variant_of_嗉[su4] 
膇	膇 swelling_of_foot 
膈	膈 diaphragm_(anatomy) 
膊	膊 shoulder upper_arm 
膋	膋 fat_on_intestines 
膌	膌 old_variant_of_瘠[ji2] 
膏	膏 ointment paste CL:帖[tie3] 
膏	膏 to_moisten to_grease to_apply_(cream,_ointment) to_dip_a_brush_in_ink 
膓	膓 old_variant_of_腸|肠[chang2] 
膔	膔 variant_of_膘[biao1] 
膔	膔 sound_of_belly_rumbling borborygmus 
脊	脊 spine back ridge Taiwan_pr._[ji2]_or_[ji3] 
腠	腠 the_tissue_between_the_skin_and_the_flesh 
腡	腡 fingerprint 
臿	臿 to_separate_the_grain_from_the_husk 
舀	舀 to_ladle_out to_scoop_up 
舁	舁 to_lift to_raise 
舂	舂 to_pound_(grain) beat 
舄	舄 shoe slipper 
舅	舅 maternal_uncle 
與	與 variant_of_歟|欤[yu2] 
與	與 and to_give together_with 
與	與 to_take_part_in 
芃	芃 luxuriant_growth 
芄	芄 Metaplexis_stauntoni 
芊	芊 green luxuriant_growth 
臥	臥 to_lie to_crouch 
肎	肎 old_variant_of_肯[ken3] 
肏	肏 to_fuck_(vulgar) 
肐	肐 variant_of_胳[ge1] 
肓	肓 region_between_heart_and_diaphragm 
肕	肕 old_variant_of_韌|韧[ren4] 
肖	肖 surname_Xiao Taiwan_pr._[Xiao4] 
